"SceneImage","consist_obj","Basic","Superordinate","InOut","group_labels","Inverted","Duration","Consistent","probe_cat","probe"
"bell.jpg","Coffee Maker","Living Room","Private","Indoors","ig2","No","100","Inconsistent","Corridor","Bathroom Sign"
"corridor2.jpg","Bathroom Sign","Corridor","Public","Indoors","ig2","Yes","100","Inconsistent","Living Room","Vase"
"bedroom13.jpg","Laundry Hamper","Bedroom","Private","Indoors","ig1","No","50","Consistent","Bedroom","Laundry Hamper"
"opencountry1.jpg","Fence","Open Country","Natural","Outdoors","og2","Yes","100","Inconsistent","Suburban","Parking Meter"
"corridor5.jpg","Fire Alarm","Corridor","Public","Indoors","ig1","Yes","50","Consistent","Corridor","Fire Alarm"
"play2.jpg","Swing Set","Playground","Human","Outdoors","og2","Yes","50","Inconsistent","Open Country","Farmhouse"
"citycenter11.jpg","Horse Carriage","City Center","Human","Outdoors","og1","No","80","Consistent","City Center","Horse Carriage"
"class8.jpg","Pencil Case","Classroom","Public","Indoors","ig1","No","80","Consistent","Classroom","Pencil Case"
"plant_bathroom.png","Slippers","Bathroom","Private","Indoors","ig1","Yes","50","Consistent","Bathroom","Slippers"
"urbanstreet19.jpg","Subway Station Sign","Urban Street","Human","Outdoors","og2","Yes","80","Inconsistent","Suburban","Birdhouse"
"living17.jpg","Armchair Recliner","Living Room","Private","Indoors","ig1","No","80","Consistent","Living Room","Armchair Recliner"
"forest2.jpg","Bird Nest","Forest","Natural","Outdoors","og1","No","100","Consistent","Forest","Bird Nest"
"conference5.jpg","Laptop","Conference Room","Public","Indoors","ig2","Yes","100","Inconsistent","Kitchen","Blender"
"coast8.jpg","Lighthouse","Coast","Natural","Outdoors","og2","No","80","Inconsistent","Playground","Picnic Table"
"suburb3.jpg","Mailbox","Suburban","Human","Outdoors","og2","Yes","50","Inconsistent","Forest","Fishing Rod"
"office1.jpg","Pencil Holder","Office","Public","Indoors","ig1","Yes","100","Consistent","Office","Pencil Holder"
"corridor1.jpg","Drinking Fountain","Corridor","Public","Indoors","ig1","Yes","50","Consistent","Corridor","Drinking Fountain"
"play12.jpg","Seesaw","Playground","Human","Outdoors","og2","Yes","100","Inconsistent","Open Country","Radio Tower"
"farm1.jpg","Hay Bale","Farm","Natural","Outdoors","og1","Yes","80","Consistent","Farm","Hay Bale"
"conference1.jpg","Briefcase","Conference Room","Public","Indoors","ig2","Yes","100","Inconsistent","Bedroom","Alarm Clock"
"Urban10.jpg","Bicycle","Suburban","Human","Outdoors","og1","Yes","80","Consistent","Suburban","Bicycle"
"opencountry8.jpg","Radio Tower","Open Country","Natural","Outdoors","og2","Yes","100","Inconsistent","Coast","Beach Towel"
"pond.png","Birdhouse","Suburban","Natural","Outdoors","og2","Yes","50","Inconsistent","Highway","Road Work Sign"
"wood_kitchen.png","Broom","Kitchen","Private","Indoors","ig1","Yes","80","Consistent","Kitchen","Broom"
"bedroom5.jpg","Alarm Clock","Bedroom","Private","Indoors","ig2","No","100","Inconsistent","Corridor","Fire Extinguisher"
"urbanstreet28.jpg","Crosswalk Signal","Urban Street","Human","Outdoors","og2","Yes","80","Inconsistent","Forest","Wild Berries"
"citycenter2.jpg","Taxi","City Center","Human","Outdoors","og1","No","80","Consistent","City Center","Taxi"
"bathroom3.jpg","Toilet Paper","Bathroom","Private","Indoors","ig2","No","100","Inconsistent","Conference Room","Laptop"
"suburb6.jpg","Utility Pole","Suburban","Human","Outdoors","og2","Yes","80","Inconsistent","Forest","Camping Tent"
"Nature14.jpg","Wild Berries","Forest","Natural","Outdoors","og2","No","50","Inconsistent","Suburban","Fire Hydrant"
"living13.jpg","DVD Player","Living Room","Private","Indoors","ig2","No","50","Inconsistent","Kitchen","Pan"
"office9.jpg","Paper Shredder","Office","Public","Indoors","ig1","Yes","100","Consistent","Office","Paper Shredder"
"bin.jpg","Rocking Chair","Living Room","Private","Indoors","ig2","No","50","Inconsistent","Bathroom","Soap Bar"
"class3.jpg","Notebook","Classroom","Public","Indoors","ig2","No","80","Inconsistent","Living Room","Rocking Chair"
"highway6.jpg","Speed Limit Sign","Highway","Human","Outdoors","og1","No","50","Consistent","Highway","Speed Limit Sign"
"kitchen17.jpg","Baking Tray","Kitchen","Private","Indoors","ig2","No","100","Inconsistent","Corridor","Exit Sign"
"briefcase.jpg","Printer","Office","Public","Indoors","ig1","No","50","Consistent","Office","Printer"
"forest14.jpg","Camping Tent","Forest","Natural","Outdoors","og2","Yes","80","Inconsistent","Highway","Motorcycle"
"farm3.jpg","Scarecrow","Farm","Natural","Outdoors","og2","Yes","50","Inconsistent","City Center","Historic Plaque"
"class11.jpg","Backpack","Classroom","Public","Indoors","ig2","No","80","Inconsistent","Dining Room","Spoon"
"coast3.jpg","Buoy","Coast","Natural","Outdoors","og1","Yes","100","Consistent","Coast","Buoy"
"highway9.jpg","Road Work Sign","Highway","Human","Outdoors","og2","No","100","Inconsistent","Suburban","Bird Bath"
"bedroom14.jpg","Comforter Blanket","Bedroom","Private","Indoors","ig2","No","100","Inconsistent","Conference Room","Projector"
"play10.jpg","Picnic Table","Playground","Human","Outdoors","og2","Yes","100","Inconsistent","Forest","Lily Pad"
"farm4.jpg","Feeding Trough","Farm","Natural","Outdoors","og2","Yes","50","Inconsistent","Urban Street","Subway Station Sign"
"suburb2.jpg","Fire Hydrant","Suburban","Human","Outdoors","og2","Yes","50","Inconsistent","Playground","Swing Set"
"highway8.jpg","Yield Sign","Highway","Human","Outdoors","og1","No","50","Consistent","Highway","Yield Sign"
"kitchen13.jpg","Stand Mixer","Kitchen","Private","Indoors","ig2","No","100","Inconsistent","Living Room","DVD Player"
"corridor4.jpg","Exit Sign","Corridor","Public","Indoors","ig2","Yes","50","Inconsistent","Dining Room","Plate"
"suburb1.jpg","Lawn Mower","Suburban","Human","Outdoors","og2","Yes","50","Inconsistent","Farm","Scarecrow"
"corridor3.jpg","Fire Extinguisher","Corridor","Public","Indoors","ig2","Yes","100","Inconsistent","Classroom","Notebook"
"elephant.jpg","Napkin","Dining Room","Private","Indoors","ig1","Yes","80","Consistent","Dining Room","Napkin"
"opencountry2.jpg","Farmhouse","Open Country","Natural","Outdoors","og2","Yes","100","Inconsistent","Forest","Kayak"
"conference8.jpg","Projector Screen","Conference Room","Public","Indoors","ig1","Yes","50","Consistent","Conference Room","Projector Screen"
"forest9.jpg","Axe","Forest","Natural","Outdoors","og1","No","100","Consistent","Forest","Axe"
"fan.jpg","Calculator","Office","Public","Indoors","ig1","Yes","80","Consistent","Office","Calculator"
"coast7.jpg","Beach Towel","Coast","Natural","Outdoors","og2","No","80","Inconsistent","Open Country","Fence"
"citycenter10.jpg","Souvenir Stand","City Center","Human","Outdoors","og1","No","50","Consistent","City Center","Souvenir Stand"
"class6.jpg","Textbook","Classroom","Public","Indoors","ig2","No","80","Inconsistent","Living Room","Coffee Maker"
"coast10.jpg","Surfboard","Coast","Natural","Outdoors","og1","Yes","100","Consistent","Coast","Surfboard"
"opencountry3.jpg","Windmill","Open Country","Natural","Outdoors","og1","Yes","100","Consistent","Open Country","Windmill"
"fire_hydrant.jpg","Flag Pole","City Center","Human","Outdoors","og2","Yes","80","Inconsistent","Farm","Feeding Trough"
"Nature47.jpg","Fishing Boat","Coast","Natural","Outdoors","og1","No","80","Consistent","Coast","Fishing Boat"
"natural_fall.png","Fishing Rod","Forest","Natural","Outdoors","og2","No","50","Inconsistent","Suburban","Lawn Mower"
"citycenter12.jpg","Historic Plaque","City Center","Human","Outdoors","og2","No","50","Inconsistent","Forest","Toadstool Mushroom"
"brick_apartment.png","Bird Bath","Suburban","Human","Outdoors","og2","No","50","Inconsistent","Coast","Lighthouse"
