"SceneImage","consist_obj","Basic","Superordinate","InOut","group_labels","Inverted","Duration","Consistent","probe_cat","probe"
"farm4.jpg","Feeding Trough","Farm","Natural","Outdoors","og2","Yes","80","Consistent","Farm","Feeding Trough"
"brick_apartment.png","Bird Bath","Suburban","Human","Outdoors","og2","No","80","Consistent","Suburban","Bird Bath"
"Nature47.jpg","Fishing Boat","Coast","Natural","Outdoors","og1","No","100","Inconsistent","Corridor","Drinking Fountain"
"dining8.jpg","Fork","Dining Room","Private","Indoors","ig1","Yes","100","Inconsistent","Farm","Wheelbarrow"
"bathroom7.jpg","Soap Bar","Bathroom","Private","Indoors","ig2","No","50","Consistent","Bathroom","Soap Bar"
"kitchen16.jpg","Oven Mitts","Kitchen","Private","Indoors","ig2","No","50","Consistent","Kitchen","Oven Mitts"
"corridor1.jpg","Drinking Fountain","Corridor","Public","Indoors","ig1","Yes","80","Inconsistent","City Center","Taxi"
"kitchen13.jpg","Stand Mixer","Kitchen","Private","Indoors","ig2","No","50","Consistent","Kitchen","Stand Mixer"
"highway10.jpg","Billboard","Highway","Human","Outdoors","og1","No","80","Inconsistent","Office","Pencil Holder"
"play5.jpg","Soccer Ball","Playground","Human","Outdoors","og1","Yes","80","Inconsistent","Living Room","Television"
"coast3.jpg","Buoy","Coast","Natural","Outdoors","og1","Yes","50","Inconsistent","Dining Room","Napkin"
"living13.jpg","DVD Player","Living Room","Private","Indoors","ig2","No","80","Consistent","Living Room","DVD Player"
"conference5.jpg","Laptop","Conference Room","Public","Indoors","ig2","Yes","50","Consistent","Conference Room","Laptop"
"living17.jpg","Armchair Recliner","Living Room","Private","Indoors","ig1","No","100","Inconsistent","Coast","Fishing Boat"
"dining7.jpg","Spoon","Dining Room","Private","Indoors","ig2","Yes","80","Consistent","Dining Room","Spoon"
"opencountry1.jpg","Fence","Open Country","Natural","Outdoors","og2","Yes","50","Consistent","Open Country","Fence"
"suburb2.jpg","Fire Hydrant","Suburban","Human","Outdoors","og2","Yes","80","Consistent","Suburban","Fire Hydrant"
"tan_kitchen.png","Knife","Kitchen","Private","Indoors","ig2","Yes","100","Consistent","Kitchen","Knife"
"farm1.jpg","Hay Bale","Farm","Natural","Outdoors","og1","Yes","100","Inconsistent","Bathroom","Shower Head"
"bedroom11.jpg","Nightstand","Bedroom","Private","Indoors","ig1","No","50","Inconsistent","Urban Street","Stop Sign"
"office1.jpg","Pencil Holder","Office","Public","Indoors","ig1","Yes","50","Inconsistent","City Center","Souvenir Stand"
"play12.jpg","Seesaw","Playground","Human","Outdoors","og2","Yes","50","Consistent","Playground","Seesaw"
"clock.jpg","Stop Sign","Urban Street","Human","Outdoors","og1","Yes","50","Inconsistent","Dining Room","Tablecloth"
"citycenter26.jpg","Statue","City Center","Human","Outdoors","og1","No","100","Inconsistent","Office","Paper Shredder"
"basketball_net.jpg","Bench","Playground","Human","Outdoors","og1","No","50","Inconsistent","Living Room","Armchair Recliner"
"forest2.jpg","Bird Nest","Forest","Natural","Outdoors","og1","No","50","Inconsistent","Bedroom","Nightstand"
