SceneImage,consist_obj,Basic,Superordinate,InOut,group_labels,Inverted,Duration,Consistent,probe_cat,probe
bedroom11.jpg,Nightstand,Bedroom,Private,Indoors,ig1,Yes,80,Inconsistent,Dining Room,Tablecloth
bell.jpg,Coffee Maker,Living Room,Private,Indoors,ig2,Yes,80,Consistent,Living Room,Coffee Maker
coast10.jpg,Surfboard,Coast,Natural,Outdoors,og1,No,50,Inconsistent,Forest,Bird Nest
urbanstreet1.jpg,Newspaper Box,Urban Street,Human,Outdoors,og1,No,100,Inconsistent,Farm,Hay Bale
suburb4.jpg,Crosswalk,Suburban,Human,Outdoors,og1,No,80,Inconsistent,Forest,Rock
child_bedroom.png,Teddy Bear,Bedroom,Private,Indoors,ig1,Yes,100,Inconsistent,Office,Paper Shredder
coast11.jpg,Lifeguard Tower,Coast,Natural,Outdoors,og1,No,50,Inconsistent,Urban Street,Telephone Booth
class3.jpg,Notebook,Classroom,Public,Indoors,ig2,Yes,50,Consistent,Classroom,Notebook
living9.jpg,Ottoman,Living Room,Private,Indoors,ig1,Yes,50,Inconsistent,Bathroom,Shower Head
corridor3.jpg,Fire Extinguisher,Corridor,Public,Indoors,ig2,No,50,Consistent,Corridor,Fire Extinguisher
dining5.jpg,Bowl,Dining Room,Private,Indoors,ig1,No,80,Inconsistent,Office,Stapler
MDS201.jpg,Rock,Forest,Natural,Outdoors,og1,Yes,50,Inconsistent,Highway,Billboard
citycenter12.jpg,Historic Plaque,City Center,Human,Outdoors,og2,Yes,100,Consistent,City Center,Historic Plaque
kitchen17.jpg,Baking Tray,Kitchen,Private,Indoors,ig2,Yes,80,Consistent,Kitchen,Baking Tray
Nature14.jpg,Wild Berries,Forest,Natural,Outdoors,og2,Yes,100,Consistent,Forest,Wild Berries
coast7.jpg,Beach Towel,Coast,Natural,Outdoors,og2,Yes,50,Consistent,Coast,Beach Towel
opencountry3.jpg,Windmill,Open Country,Natural,Outdoors,og1,No,50,Inconsistent,Highway,Speed Limit Sign
fruit_bowl.jpg,Blender,Kitchen,Private,Indoors,ig2,No,100,Consistent,Kitchen,Blender
bathroom6.jpg,Plunger,Bathroom,Private,Indoors,ig1,Yes,80,Inconsistent,Corridor,Fire Alarm
bedroom13.jpg,Laundry Hamper,Bedroom,Private,Indoors,ig1,Yes,100,Inconsistent,Kitchen,Toaster
farm4.jpg,Feeding Trough,Farm,Natural,Outdoors,og2,No,80,Consistent,Farm,Feeding Trough
office1.jpg,Pencil Holder,Office,Public,Indoors,ig1,No,50,Inconsistent,Bathroom,Razor
basketball_net.jpg,Bench,Playground,Human,Outdoors,og1,Yes,80,Inconsistent,Coast,Buoy
forest1.jpg,Toadstool Mushroom,Forest,Natural,Outdoors,og2,No,100,Consistent,Forest,Toadstool Mushroom
highway6.jpg,Speed Limit Sign,Highway,Human,Outdoors,og1,Yes,100,Inconsistent,Playground,Soccer Ball
urbanstreet12.jpg,Telephone Booth,Urban Street,Human,Outdoors,og1,No,100,Inconsistent,Open Country,Windmill
coast8.jpg,Lighthouse,Coast,Natural,Outdoors,og2,Yes,50,Consistent,Coast,Lighthouse
Nature22.jpg,Wildflower,Forest,Natural,Outdoors,og2,Yes,50,Consistent,Forest,Wildflower
flowers.jpg,Picture Frame,Living Room,Private,Indoors,ig1,Yes,80,Inconsistent,Bedroom,Dresser
kitchen16.jpg,Oven Mitts,Kitchen,Private,Indoors,ig2,Yes,80,Consistent,Kitchen,Oven Mitts
dining6.jpg,Tablecloth,Dining Room,Private,Indoors,ig1,No,80,Inconsistent,Living Room,Television
office9.jpg,Paper Shredder,Office,Public,Indoors,ig1,No,50,Inconsistent,Bathroom,Slippers
bathroom2.jpg,Shower Head,Bathroom,Private,Indoors,ig1,Yes,80,Inconsistent,Living Room,Ottoman
farm1.jpg,Hay Bale,Farm,Natural,Outdoors,og1,No,100,Inconsistent,City Center,Souvenir Stand
plant_bathroom.png,Slippers,Bathroom,Private,Indoors,ig1,No,80,Inconsistent,Office,Pencil Holder
suburb6.jpg,Utility Pole,Suburban,Human,Outdoors,og2,No,100,Consistent,Suburban,Utility Pole
play12.jpg,Seesaw,Playground,Human,Outdoors,og2,No,50,Consistent,Playground,Seesaw
living17.jpg,Armchair Recliner,Living Room,Private,Indoors,ig1,Yes,50,Inconsistent,Classroom,Crayons
dining7.jpg,Spoon,Dining Room,Private,Indoors,ig2,No,80,Consistent,Dining Room,Spoon
briefcase.jpg,Printer,Office,Public,Indoors,ig1,Yes,100,Inconsistent,Living Room,Armchair Recliner
corridor4.jpg,Exit Sign,Corridor,Public,Indoors,ig2,No,80,Consistent,Corridor,Exit Sign
modern_livingroom.png,Floor Lamp,Living Room,Private,Indoors,ig2,Yes,100,Consistent,Living Room,Floor Lamp
corridor1.jpg,Drinking Fountain,Corridor,Public,Indoors,ig1,No,80,Inconsistent,Dining Room,Bowl
living13.jpg,DVD Player,Living Room,Private,Indoors,ig2,Yes,100,Consistent,Living Room,DVD Player
opencountry1.jpg,Fence,Open Country,Natural,Outdoors,og2,No,50,Consistent,Open Country,Fence
suburb3.jpg,Mailbox,Suburban,Human,Outdoors,og2,No,80,Consistent,Suburban,Mailbox
opencountry2.jpg,Farmhouse,Open Country,Natural,Outdoors,og2,No,50,Consistent,Open Country,Farmhouse
clock.jpg,Stop Sign,Urban Street,Human,Outdoors,og1,No,50,Inconsistent,Forest,Axe
play2.jpg,Swing Set,Playground,Human,Outdoors,og2,No,80,Consistent,Playground,Swing Set
citycenter11.jpg,Horse Carriage,City Center,Human,Outdoors,og1,Yes,50,Inconsistent,Coast,Surfboard
conference8.jpg,Projector Screen,Conference Room,Public,Indoors,ig1,No,80,Inconsistent,Bedroom,Teddy Bear
dining8.jpg,Fork,Dining Room,Private,Indoors,ig1,No,100,Inconsistent,Office,Printer
bin.jpg,Rocking Chair,Living Room,Private,Indoors,ig2,Yes,100,Consistent,Living Room,Rocking Chair
kitchen10.jpg,Rolling Pin,Kitchen,Private,Indoors,ig1,Yes,100,Inconsistent,Classroom,Pencil Case
highway8.jpg,Yield Sign,Highway,Human,Outdoors,og1,Yes,100,Inconsistent,Suburban,Crosswalk
office4.jpg,Tape Dispenser,Office,Public,Indoors,ig2,Yes,50,Consistent,Office,Tape Dispenser
Urban10.jpg,Bicycle,Suburban,Human,Outdoors,og1,No,100,Inconsistent,Playground,Sandbox
bedroom14.jpg,Comforter Blanket,Bedroom,Private,Indoors,ig2,Yes,80,Consistent,Bedroom,Comforter Blanket
suburb1.jpg,Lawn Mower,Suburban,Human,Outdoors,og2,No,80,Consistent,Suburban,Lawn Mower
fire_hydrant.jpg,Flag Pole,City Center,Human,Outdoors,og2,No,100,Consistent,City Center,Flag Pole
urbanstreet30.jpg,Bus Stop Shelter,Urban Street,Human,Outdoors,og1,No,100,Inconsistent,Coast,Lifeguard Tower
play3.jpg,Sandbox,Playground,Human,Outdoors,og1,No,80,Inconsistent,Open Country,Pitchfork
conference5.jpg,Laptop,Conference Room,Public,Indoors,ig2,No,50,Consistent,Conference Room,Laptop
opencountry8.jpg,Radio Tower,Open Country,Natural,Outdoors,og2,No,50,Consistent,Open Country,Radio Tower
bathroom7.jpg,Soap Bar,Bathroom,Private,Indoors,ig2,Yes,80,Consistent,Bathroom,Soap Bar
farm3.jpg,Scarecrow,Farm,Natural,Outdoors,og2,No,80,Consistent,Farm,Scarecrow
citycenter2.jpg,Taxi,City Center,Human,Outdoors,og1,Yes,50,Inconsistent,Coast,Fishing Boat
class11.jpg,Backpack,Classroom,Public,Indoors,ig2,Yes,50,Consistent,Classroom,Backpack
