"SceneImage","consist_obj","Basic","Superordinate","InOut","group_labels","Inverted","Duration","Consistent","probe_cat","probe"
"glass.jpg","Toaster","Kitchen","Private","Indoors","ig1","Yes","80","Inconsistent","City Center","Statue"
"coast8.jpg","Lighthouse","Coast","Natural","Outdoors","og2","Yes","100","Consistent","Coast","Lighthouse"
"basketball_net.jpg","Bench","Playground","Human","Outdoors","og1","Yes","50","Inconsistent","Living Room","Armchair Recliner"
"conference5.jpg","Laptop","Conference Room","Public","Indoors","ig2","No","100","Consistent","Conference Room","Laptop"
"bedroom11.jpg","Nightstand","Bedroom","Private","Indoors","ig1","Yes","50","Inconsistent","Urban Street","Stop Sign"
"play5.jpg","Soccer Ball","Playground","Human","Outdoors","og1","No","50","Inconsistent","Living Room","Television"
"opencountry3.jpg","Windmill","Open Country","Natural","Outdoors","og1","No","100","Inconsistent","Office","Printer"
"coast11.jpg","Lifeguard Tower","Coast","Natural","Outdoors","og1","No","100","Inconsistent","Conference Room","Projector Screen"
"citycenter11.jpg","Horse Carriage","City Center","Human","Outdoors","og1","Yes","100","Inconsistent","Bedroom","Laundry Hamper"
"blender.jpg","Pan","Kitchen","Private","Indoors","ig2","Yes","80","Consistent","Kitchen","Pan"
"bathroom7.jpg","Soap Bar","Bathroom","Private","Indoors","ig2","Yes","50","Consistent","Bathroom","Soap Bar"
"conference3.jpg","Phone Set","Conference Room","Public","Indoors","ig1","No","100","Inconsistent","Farm","Tractor"
"Urban14.jpg","Parking Meter","Suburban","Human","Outdoors","og2","No","80","Consistent","Suburban","Parking Meter"
"farm7.jpg","Tractor","Farm","Natural","Outdoors","og1","Yes","50","Inconsistent","Bedroom","Dresser"
"wood_kitchen.png","Broom","Kitchen","Private","Indoors","ig1","No","80","Inconsistent","Highway","Billboard"
"corridor5.jpg","Fire Alarm","Corridor","Public","Indoors","ig1","No","50","Inconsistent","City Center","Horse Carriage"
"bell.jpg","Coffee Maker","Living Room","Private","Indoors","ig2","Yes","50","Consistent","Living Room","Coffee Maker"
"kitchen13.jpg","Stand Mixer","Kitchen","Private","Indoors","ig2","Yes","50","Consistent","Kitchen","Stand Mixer"
"opencountry1.jpg","Fence","Open Country","Natural","Outdoors","og2","No","100","Consistent","Open Country","Fence"
"bathroom4.jpg","Razor","Bathroom","Private","Indoors","ig1","Yes","50","Inconsistent","Urban Street","Newspaper Box"
"play2.jpg","Swing Set","Playground","Human","Outdoors","og2","No","50","Consistent","Playground","Swing Set"
"fire_hydrant.jpg","Flag Pole","City Center","Human","Outdoors","og2","No","80","Consistent","City Center","Flag Pole"
"living17.jpg","Armchair Recliner","Living Room","Private","Indoors","ig1","Yes","100","Inconsistent","Coast","Fishing Boat"
"suburb4.jpg","Crosswalk","Suburban","Human","Outdoors","og1","No","50","Inconsistent","Conference Room","Phone Set"
"bin.jpg","Rocking Chair","Living Room","Private","Indoors","ig2","Yes","80","Consistent","Living Room","Rocking Chair"
"bedroom12.jpg","Dresser","Bedroom","Private","Indoors","ig1","Yes","80","Inconsistent","Urban Street","Bus Stop Shelter"
"dining7.jpg","Spoon","Dining Room","Private","Indoors","ig2","No","50","Consistent","Dining Room","Spoon"
