SceneImage,consist_obj,Basic,Superordinate,InOut,group_labels,Inverted,Duration,Consistent,probe_cat,probe
class11.jpg,Backpack,Classroom,Public,Indoors,ig2,No,100,Consistent,Classroom,Backpack
forest9.jpg,Axe,Forest,Natural,Outdoors,og1,No,50,Inconsistent,Urban Street,Bus Stop Shelter
fire_hydrant.jpg,Flag Pole,City Center,Human,Outdoors,og2,Yes,100,Consistent,City Center,Flag Pole
highway9.jpg,Road Work Sign,Highway,Human,Outdoors,og2,No,50,Consistent,Highway,Road Work Sign
bust.jpg,TV Remote,Living Room,Private,Indoors,ig2,No,80,Consistent,Living Room,TV Remote
basketball_net.jpg,Bench,Playground,Human,Outdoors,og1,No,50,Inconsistent,Coast,Buoy
urbanstreet1.jpg,Newspaper Box,Urban Street,Human,Outdoors,og1,Yes,100,Inconsistent,Farm,Hay Bale
MDS201.jpg,Rock,Forest,Natural,Outdoors,og1,No,100,Inconsistent,Highway,Billboard
corridor1.jpg,Drinking Fountain,Corridor,Public,Indoors,ig1,Yes,80,Inconsistent,Dining Room,Bowl
natural_fall.png,Fishing Rod,Forest,Natural,Outdoors,og2,No,80,Consistent,Forest,Fishing Rod
urbanstreet12.jpg,Telephone Booth,Urban Street,Human,Outdoors,og1,Yes,100,Inconsistent,Open Country,Windmill
suburb2.jpg,Fire Hydrant,Suburban,Human,Outdoors,og2,Yes,80,Consistent,Suburban,Fire Hydrant
office4.jpg,Tape Dispenser,Office,Public,Indoors,ig2,No,100,Consistent,Office,Tape Dispenser
dining6.jpg,Tablecloth,Dining Room,Private,Indoors,ig1,Yes,80,Inconsistent,Living Room,Television
child_bedroom.png,Teddy Bear,Bedroom,Private,Indoors,ig1,No,80,Inconsistent,Office,Paper Shredder
kitchen13.jpg,Stand Mixer,Kitchen,Private,Indoors,ig2,No,50,Consistent,Kitchen,Stand Mixer
farm4.jpg,Feeding Trough,Farm,Natural,Outdoors,og2,Yes,80,Consistent,Farm,Feeding Trough
bathroom7.jpg,Soap Bar,Bathroom,Private,Indoors,ig2,No,50,Consistent,Bathroom,Soap Bar
Urban14.jpg,Parking Meter,Suburban,Human,Outdoors,og2,Yes,100,Consistent,Suburban,Parking Meter
elephant.jpg,Napkin,Dining Room,Private,Indoors,ig1,Yes,100,Inconsistent,Conference Room,Projector Screen
coast3.jpg,Buoy,Coast,Natural,Outdoors,og1,Yes,50,Inconsistent,Suburban,Bicycle
plant_bathroom.png,Slippers,Bathroom,Private,Indoors,ig1,Yes,80,Inconsistent,Office,Pencil Holder
bedroom11.jpg,Nightstand,Bedroom,Private,Indoors,ig1,No,50,Inconsistent,Dining Room,Tablecloth
play2.jpg,Swing Set,Playground,Human,Outdoors,og2,Yes,80,Consistent,Playground,Swing Set
clock.jpg,Stop Sign,Urban Street,Human,Outdoors,og1,Yes,50,Inconsistent,Forest,Axe
citycenter12.jpg,Historic Plaque,City Center,Human,Outdoors,og2,No,80,Consistent,City Center,Historic Plaque
briefcase.jpg,Printer,Office,Public,Indoors,ig1,No,80,Inconsistent,Living Room,Armchair Recliner
citycenter26.jpg,Statue,City Center,Human,Outdoors,og1,No,100,Inconsistent,Forest,Log Cabin
Nature47.jpg,Fishing Boat,Coast,Natural,Outdoors,og1,No,100,Inconsistent,Playground,Bench
urbanstreet19.jpg,Subway Station Sign,Urban Street,Human,Outdoors,og2,Yes,100,Consistent,Urban Street,Subway Station Sign
Nature22.jpg,Wildflower,Forest,Natural,Outdoors,og2,No,100,Consistent,Forest,Wildflower
suburb3.jpg,Mailbox,Suburban,Human,Outdoors,og2,Yes,80,Consistent,Suburban,Mailbox
conference5.jpg,Laptop,Conference Room,Public,Indoors,ig2,Yes,50,Consistent,Conference Room,Laptop
bell.jpg,Coffee Maker,Living Room,Private,Indoors,ig2,No,50,Consistent,Living Room,Coffee Maker
forest1.jpg,Toadstool Mushroom,Forest,Natural,Outdoors,og2,Yes,100,Consistent,Forest,Toadstool Mushroom
fan.jpg,Calculator,Office,Public,Indoors,ig1,Yes,100,Inconsistent,Bedroom,Nightstand
citycenter2.jpg,Taxi,City Center,Human,Outdoors,og1,No,100,Inconsistent,Coast,Fishing Boat
office8.jpg,Sticky Notes,Office,Public,Indoors,ig2,No,100,Consistent,Office,Sticky Notes
suburb1.jpg,Lawn Mower,Suburban,Human,Outdoors,og2,Yes,80,Consistent,Suburban,Lawn Mower
conference3.jpg,Phone Set,Conference Room,Public,Indoors,ig1,Yes,50,Inconsistent,Living Room,Picture Frame
bedroom14.jpg,Comforter Blanket,Bedroom,Private,Indoors,ig2,No,50,Consistent,Bedroom,Comforter Blanket
blender.jpg,Pan,Kitchen,Private,Indoors,ig2,No,80,Consistent,Kitchen,Pan
living6.jpg,Vase,Living Room,Private,Indoors,ig2,No,80,Consistent,Living Room,Vase
Nature14.jpg,Wild Berries,Forest,Natural,Outdoors,og2,No,80,Consistent,Forest,Wild Berries
coast7.jpg,Beach Towel,Coast,Natural,Outdoors,og2,No,100,Consistent,Coast,Beach Towel
