SceneImage,consist_obj,Basic,Superordinate,InOut,group_labels,Inverted,Duration,Consistent,probe_cat,probe
bathroom3.jpg,Toilet Paper,Bathroom,Private,Indoors,ig2,Yes,50,Consistent,Bathroom,Toilet Paper
citycenter12.jpg,Historic Plaque,City Center,Human,Outdoors,og2,Yes,80,Consistent,City Center,Historic Plaque
dining8.jpg,Fork,Dining Room,Private,Indoors,ig1,No,80,Inconsistent,Office,Printer
bedroom13.jpg,Laundry Hamper,Bedroom,Private,Indoors,ig1,Yes,80,Inconsistent,Kitchen,Toaster
highway6.jpg,Speed Limit Sign,Highway,Human,Outdoors,og1,Yes,80,Inconsistent,Playground,Soccer Ball
basketball_net.jpg,Bench,Playground,Human,Outdoors,og1,Yes,50,Inconsistent,Coast,Buoy
opencountry3.jpg,Windmill,Open Country,Natural,Outdoors,og1,No,100,Inconsistent,Highway,Speed Limit Sign
urbanstreet19.jpg,Subway Station Sign,Urban Street,Human,Outdoors,og2,No,80,Consistent,Urban Street,Subway Station Sign
Urban10.jpg,Bicycle,Suburban,Human,Outdoors,og1,No,80,Inconsistent,Playground,Sandbox
fan.jpg,Calculator,Office,Public,Indoors,ig1,No,80,Inconsistent,Bedroom,Nightstand
dining5.jpg,Bowl,Dining Room,Private,Indoors,ig1,No,50,Inconsistent,Office,Stapler
suburb3.jpg,Mailbox,Suburban,Human,Outdoors,og2,No,50,Consistent,Suburban,Mailbox
forest14.jpg,Camping Tent,Forest,Natural,Outdoors,og2,No,80,Consistent,Forest,Camping Tent
corridor1.jpg,Drinking Fountain,Corridor,Public,Indoors,ig1,No,50,Inconsistent,Dining Room,Bowl
conference1.jpg,Briefcase,Conference Room,Public,Indoors,ig2,No,100,Consistent,Conference Room,Briefcase
bathroom6.jpg,Plunger,Bathroom,Private,Indoors,ig1,Yes,50,Inconsistent,Corridor,Fire Alarm
play5.jpg,Soccer Ball,Playground,Human,Outdoors,og1,No,50,Inconsistent,Farm,Wheelbarrow
office10.jpg,Stapler,Office,Public,Indoors,ig1,No,100,Inconsistent,Kitchen,Broom
farm1.jpg,Hay Bale,Farm,Natural,Outdoors,og1,No,80,Inconsistent,City Center,Souvenir Stand
conference8.jpg,Projector Screen,Conference Room,Public,Indoors,ig1,No,50,Inconsistent,Bedroom,Teddy Bear
office9.jpg,Paper Shredder,Office,Public,Indoors,ig1,No,100,Inconsistent,Bathroom,Slippers
suburb1.jpg,Lawn Mower,Suburban,Human,Outdoors,og2,No,50,Consistent,Suburban,Lawn Mower
elephant.jpg,Napkin,Dining Room,Private,Indoors,ig1,No,80,Inconsistent,Conference Room,Projector Screen
highway9.jpg,Road Work Sign,Highway,Human,Outdoors,og2,Yes,50,Consistent,Highway,Road Work Sign
plant_bathroom.png,Slippers,Bathroom,Private,Indoors,ig1,No,50,Inconsistent,Office,Pencil Holder
Nature22.jpg,Wildflower,Forest,Natural,Outdoors,og2,Yes,100,Consistent,Forest,Wildflower
highway12.jpg,Motorcycle,Highway,Human,Outdoors,og2,No,80,Consistent,Highway,Motorcycle
bedroom11.jpg,Nightstand,Bedroom,Private,Indoors,ig1,Yes,50,Inconsistent,Dining Room,Tablecloth
suburb4.jpg,Crosswalk,Suburban,Human,Outdoors,og1,No,50,Inconsistent,Forest,Rock
bathroom2.jpg,Shower Head,Bathroom,Private,Indoors,ig1,Yes,50,Inconsistent,Living Room,Ottoman
dining7.jpg,Spoon,Dining Room,Private,Indoors,ig2,No,50,Consistent,Dining Room,Spoon
opencountry5.jpg,Pitchfork,Open Country,Natural,Outdoors,og1,No,100,Inconsistent,Highway,Yield Sign
Nature14.jpg,Wild Berries,Forest,Natural,Outdoors,og2,Yes,80,Consistent,Forest,Wild Berries
living6.jpg,Vase,Living Room,Private,Indoors,ig2,Yes,80,Consistent,Living Room,Vase
suburb2.jpg,Fire Hydrant,Suburban,Human,Outdoors,og2,No,50,Consistent,Suburban,Fire Hydrant
coast7.jpg,Beach Towel,Coast,Natural,Outdoors,og2,Yes,100,Consistent,Coast,Beach Towel
bedroom12.jpg,Dresser,Bedroom,Private,Indoors,ig1,Yes,80,Inconsistent,Corridor,Drinking Fountain
highway8.jpg,Yield Sign,Highway,Human,Outdoors,og1,Yes,80,Inconsistent,Suburban,Crosswalk
tan_kitchen.png,Knife,Kitchen,Private,Indoors,ig2,No,80,Consistent,Kitchen,Knife
conference3.jpg,Phone Set,Conference Room,Public,Indoors,ig1,No,100,Inconsistent,Living Room,Picture Frame
class8.jpg,Pencil Case,Classroom,Public,Indoors,ig1,Yes,100,Inconsistent,Kitchen,Rolling Pin
wood_kitchen.png,Broom,Kitchen,Private,Indoors,ig1,No,80,Inconsistent,Office,Calculator
play2.jpg,Swing Set,Playground,Human,Outdoors,og2,No,50,Consistent,Playground,Swing Set
fruit_bowl.jpg,Blender,Kitchen,Private,Indoors,ig2,No,80,Consistent,Kitchen,Blender
corridor2.jpg,Bathroom Sign,Corridor,Public,Indoors,ig2,No,100,Consistent,Corridor,Bathroom Sign
