"SceneImage","consist_obj","Basic","Superordinate","InOut","group_labels","Inverted","Duration","Consistent","probe_cat","probe"
"tan_kitchen.png","Knife","Kitchen","Private","Indoors","ig2","No","100","Consistent","Kitchen","Knife"
"conference7.jpg","Projector","Conference Room","Public","Indoors","ig2","No","50","Consistent","Conference Room","Projector"
"coast3.jpg","Buoy","Coast","Natural","Outdoors","og1","No","50","Inconsistent","Dining Room","Napkin"
"highway9.jpg","Road Work Sign","Highway","Human","Outdoors","og2","Yes","80","Consistent","Highway","Road Work Sign"
"forest1.jpg","Toadstool Mushroom","Forest","Natural","Outdoors","og2","No","100","Consistent","Forest","Toadstool Mushroom"
"coast11.jpg","Lifeguard Tower","Coast","Natural","Outdoors","og1","No","50","Inconsistent","Conference Room","Projector Screen"
"corridor2.jpg","Bathroom Sign","Corridor","Public","Indoors","ig2","No","50","Consistent","Corridor","Bathroom Sign"
"play10.jpg","Picnic Table","Playground","Human","Outdoors","og2","No","50","Consistent","Playground","Picnic Table"
"citycenter11.jpg","Horse Carriage","City Center","Human","Outdoors","og1","Yes","50","Inconsistent","Bedroom","Laundry Hamper"
"class9.jpg","Crayons","Classroom","Public","Indoors","ig1","Yes","50","Inconsistent","Forest","Axe"
"bathroom2.jpg","Shower Head","Bathroom","Private","Indoors","ig1","Yes","80","Inconsistent","Suburban","Bicycle"
"dining8.jpg","Fork","Dining Room","Private","Indoors","ig1","No","100","Inconsistent","Farm","Wheelbarrow"
"coast8.jpg","Lighthouse","Coast","Natural","Outdoors","og2","Yes","50","Consistent","Coast","Lighthouse"
"opencountry5.jpg","Pitchfork","Open Country","Natural","Outdoors","og1","No","50","Inconsistent","Corridor","Fire Alarm"
"highway12.jpg","Motorcycle","Highway","Human","Outdoors","og2","No","100","Consistent","Highway","Motorcycle"
"bathroom3.jpg","Toilet Paper","Bathroom","Private","Indoors","ig2","Yes","80","Consistent","Bathroom","Toilet Paper"
"fire_hydrant.jpg","Flag Pole","City Center","Human","Outdoors","og2","No","100","Consistent","City Center","Flag Pole"
"coast10.jpg","Surfboard","Coast","Natural","Outdoors","og1","No","50","Inconsistent","Living Room","Ottoman"
"fruit_bowl.jpg","Blender","Kitchen","Private","Indoors","ig2","No","100","Consistent","Kitchen","Blender"
"Nature47.jpg","Fishing Boat","Coast","Natural","Outdoors","og1","Yes","50","Inconsistent","Corridor","Drinking Fountain"
"Nature40.jpg","Kayak","Forest","Natural","Outdoors","og2","Yes","50","Consistent","Forest","Kayak"
"bell.jpg","Coffee Maker","Living Room","Private","Indoors","ig2","Yes","80","Consistent","Living Room","Coffee Maker"
"Nature14.jpg","Wild Berries","Forest","Natural","Outdoors","og2","Yes","100","Consistent","Forest","Wild Berries"
"office1.jpg","Pencil Holder","Office","Public","Indoors","ig1","No","50","Inconsistent","City Center","Souvenir Stand"
"conference3.jpg","Phone Set","Conference Room","Public","Indoors","ig1","No","50","Inconsistent","Farm","Tractor"
"kitchen10.jpg","Rolling Pin","Kitchen","Private","Indoors","ig1","Yes","100","Inconsistent","Suburban","Traffic Light"
"office9.jpg","Paper Shredder","Office","Public","Indoors","ig1","No","50","Inconsistent","Playground","Soccer Ball"
"dining3.jpg","Plate","Dining Room","Private","Indoors","ig2","No","80","Consistent","Dining Room","Plate"
"play2.jpg","Swing Set","Playground","Human","Outdoors","og2","No","80","Consistent","Playground","Swing Set"
"highway6.jpg","Speed Limit Sign","Highway","Human","Outdoors","og1","Yes","100","Inconsistent","Dining Room","Bowl"
"bedroom5.jpg","Alarm Clock","Bedroom","Private","Indoors","ig2","Yes","80","Consistent","Bedroom","Alarm Clock"
"opencountry3.jpg","Windmill","Open Country","Natural","Outdoors","og1","No","50","Inconsistent","Office","Printer"
"forest9.jpg","Axe","Forest","Natural","Outdoors","og1","Yes","80","Inconsistent","Kitchen","Broom"
"bedroom11.jpg","Nightstand","Bedroom","Private","Indoors","ig1","Yes","80","Inconsistent","Urban Street","Stop Sign"
"play12.jpg","Seesaw","Playground","Human","Outdoors","og2","No","50","Consistent","Playground","Seesaw"
"office8.jpg","Sticky Notes","Office","Public","Indoors","ig2","Yes","50","Consistent","Office","Sticky Notes"
"coast7.jpg","Beach Towel","Coast","Natural","Outdoors","og2","Yes","50","Consistent","Coast","Beach Towel"
"highway8.jpg","Yield Sign","Highway","Human","Outdoors","og1","Yes","100","Inconsistent","Bedroom","Teddy Bear"
"Nature22.jpg","Wildflower","Forest","Natural","Outdoors","og2","Yes","50","Consistent","Forest","Wildflower"
"corridor3.jpg","Fire Extinguisher","Corridor","Public","Indoors","ig2","No","50","Consistent","Corridor","Fire Extinguisher"
"farm2.jpg","Wheelbarrow","Farm","Natural","Outdoors","og1","No","100","Inconsistent","Bathroom","Razor"
"brick_apartment.png","Bird Bath","Suburban","Human","Outdoors","og2","Yes","100","Consistent","Suburban","Bird Bath"
"flowers.jpg","Picture Frame","Living Room","Private","Indoors","ig1","Yes","80","Inconsistent","Farm","Hay Bale"
"class6.jpg","Textbook","Classroom","Public","Indoors","ig2","Yes","50","Consistent","Classroom","Textbook"
"play5.jpg","Soccer Ball","Playground","Human","Outdoors","og1","No","80","Inconsistent","Living Room","Television"
"citycenter26.jpg","Statue","City Center","Human","Outdoors","og1","Yes","50","Inconsistent","Office","Paper Shredder"
"suburb4.jpg","Crosswalk","Suburban","Human","Outdoors","og1","No","80","Inconsistent","Conference Room","Phone Set"
"kitchen17.jpg","Baking Tray","Kitchen","Private","Indoors","ig2","Yes","80","Consistent","Kitchen","Baking Tray"
"farm7.jpg","Tractor","Farm","Natural","Outdoors","og1","Yes","80","Inconsistent","Bedroom","Dresser"
"office10.jpg","Stapler","Office","Public","Indoors","ig1","No","50","Inconsistent","Playground","Bench"
"dining6.jpg","Tablecloth","Dining Room","Private","Indoors","ig1","No","80","Inconsistent","Coast","Buoy"
"forest11.jpg","Log Cabin","Forest","Natural","Outdoors","og1","Yes","80","Inconsistent","Living Room","Picture Frame"
"glass.jpg","Toaster","Kitchen","Private","Indoors","ig1","Yes","100","Inconsistent","City Center","Statue"
"conference5.jpg","Laptop","Conference Room","Public","Indoors","ig2","No","50","Consistent","Conference Room","Laptop"
"blender.jpg","Pan","Kitchen","Private","Indoors","ig2","Yes","100","Consistent","Kitchen","Pan"
"office4.jpg","Tape Dispenser","Office","Public","Indoors","ig2","Yes","50","Consistent","Office","Tape Dispenser"
"pond.png","Birdhouse","Suburban","Natural","Outdoors","og2","No","80","Consistent","Suburban","Birdhouse"
"bathroom7.jpg","Soap Bar","Bathroom","Private","Indoors","ig2","Yes","80","Consistent","Bathroom","Soap Bar"
"child_bedroom.png","Teddy Bear","Bedroom","Private","Indoors","ig1","Yes","100","Inconsistent","Coast","Lifeguard Tower"
"corridor1.jpg","Drinking Fountain","Corridor","Public","Indoors","ig1","No","80","Inconsistent","City Center","Taxi"
"urbanstreet19.jpg","Subway Station Sign","Urban Street","Human","Outdoors","og2","No","100","Consistent","Urban Street","Subway Station Sign"
"conference8.jpg","Projector Screen","Conference Room","Public","Indoors","ig1","No","80","Inconsistent","Forest","Log Cabin"
"citycenter12.jpg","Historic Plaque","City Center","Human","Outdoors","og2","Yes","100","Consistent","City Center","Historic Plaque"
"kitchen13.jpg","Stand Mixer","Kitchen","Private","Indoors","ig2","Yes","80","Consistent","Kitchen","Stand Mixer"
"dining5.jpg","Bowl","Dining Room","Private","Indoors","ig1","No","80","Inconsistent","Suburban","Crosswalk"
"opencountry2.jpg","Farmhouse","Open Country","Natural","Outdoors","og2","No","50","Consistent","Open Country","Farmhouse"
"MDS201.jpg","Rock","Forest","Natural","Outdoors","og1","Yes","50","Inconsistent","Office","Stapler"
"Urban14.jpg","Parking Meter","Suburban","Human","Outdoors","og2","No","100","Consistent","Suburban","Parking Meter"
"clock.jpg","Stop Sign","Urban Street","Human","Outdoors","og1","No","50","Inconsistent","Dining Room","Tablecloth"
"living9.jpg","Ottoman","Living Room","Private","Indoors","ig1","Yes","50","Inconsistent","Open Country","Windmill"
"corridor4.jpg","Exit Sign","Corridor","Public","Indoors","ig2","No","80","Consistent","Corridor","Exit Sign"
"living17.jpg","Armchair Recliner","Living Room","Private","Indoors","ig1","Yes","50","Inconsistent","Coast","Fishing Boat"
