"SceneImage","consist_obj","Basic","Superordinate","InOut","group_labels","Inverted","Duration","Consistent","probe_cat","probe"
"opencountry8.jpg","Radio Tower","Open Country","Natural","Outdoors","og2","Yes","50","Inconsistent","Coast","Beach Towel"
"farm7.jpg","Tractor","Farm","Natural","Outdoors","og1","No","50","Consistent","Farm","Tractor"
"forest2.jpg","Bird Nest","Forest","Natural","Outdoors","og1","No","50","Consistent","Forest","Bird Nest"
"farm4.jpg","Feeding Trough","Farm","Natural","Outdoors","og2","Yes","80","Inconsistent","Urban Street","Subway Station Sign"
"bedroom11.jpg","Nightstand","Bedroom","Private","Indoors","ig1","No","50","Consistent","Bedroom","Nightstand"
"flowers.jpg","Picture Frame","Living Room","Private","Indoors","ig1","No","50","Consistent","Living Room","Picture Frame"
"clock.jpg","Stop Sign","Urban Street","Human","Outdoors","og1","Yes","50","Consistent","Urban Street","Stop Sign"
"living17.jpg","Armchair Recliner","Living Room","Private","Indoors","ig1","No","100","Consistent","Living Room","Armchair Recliner"
"highway10.jpg","Billboard","Highway","Human","Outdoors","og1","No","80","Consistent","Highway","Billboard"
"office10.jpg","Stapler","Office","Public","Indoors","ig1","Yes","50","Consistent","Office","Stapler"
"highway12.jpg","Motorcycle","Highway","Human","Outdoors","og2","Yes","100","Inconsistent","Forest","Wildflower"
"bedroom5.jpg","Alarm Clock","Bedroom","Private","Indoors","ig2","No","50","Inconsistent","Corridor","Fire Extinguisher"
"urbanstreet19.jpg","Subway Station Sign","Urban Street","Human","Outdoors","og2","Yes","100","Inconsistent","Suburban","Birdhouse"
"glass.jpg","Toaster","Kitchen","Private","Indoors","ig1","No","80","Consistent","Kitchen","Toaster"
"bathroom2.jpg","Shower Head","Bathroom","Private","Indoors","ig1","No","50","Consistent","Bathroom","Shower Head"
"class11.jpg","Backpack","Classroom","Public","Indoors","ig2","No","100","Inconsistent","Dining Room","Spoon"
"living16.jpg","Television","Living Room","Private","Indoors","ig1","No","100","Consistent","Living Room","Television"
"farm1.jpg","Hay Bale","Farm","Natural","Outdoors","og1","Yes","100","Consistent","Farm","Hay Bale"
"coast10.jpg","Surfboard","Coast","Natural","Outdoors","og1","Yes","50","Consistent","Coast","Surfboard"
"dining5.jpg","Bowl","Dining Room","Private","Indoors","ig1","Yes","80","Consistent","Dining Room","Bowl"
"living9.jpg","Ottoman","Living Room","Private","Indoors","ig1","No","100","Consistent","Living Room","Ottoman"
"office9.jpg","Paper Shredder","Office","Public","Indoors","ig1","Yes","50","Consistent","Office","Paper Shredder"
"highway6.jpg","Speed Limit Sign","Highway","Human","Outdoors","og1","No","80","Consistent","Highway","Speed Limit Sign"
"farm2.jpg","Wheelbarrow","Farm","Natural","Outdoors","og1","Yes","100","Consistent","Farm","Wheelbarrow"
"living6.jpg","Vase","Living Room","Private","Indoors","ig2","No","80","Inconsistent","Office","Sticky Notes"
"Nature36.jpg","Lily Pad","Forest","Natural","Outdoors","og2","No","100","Inconsistent","City Center","Flag Pole"
"kitchen17.jpg","Baking Tray","Kitchen","Private","Indoors","ig2","No","50","Inconsistent","Corridor","Exit Sign"
"conference7.jpg","Projector","Conference Room","Public","Indoors","ig2","Yes","50","Inconsistent","Kitchen","Oven Mitts"
"fruit_bowl.jpg","Blender","Kitchen","Private","Indoors","ig2","Yes","100","Inconsistent","Living Room","Floor Lamp"
"play3.jpg","Sandbox","Playground","Human","Outdoors","og1","Yes","80","Consistent","Playground","Sandbox"
"farm3.jpg","Scarecrow","Farm","Natural","Outdoors","og2","Yes","80","Inconsistent","City Center","Historic Plaque"
"opencountry2.jpg","Farmhouse","Open Country","Natural","Outdoors","og2","Yes","50","Inconsistent","Forest","Kayak"
"play2.jpg","Swing Set","Playground","Human","Outdoors","og2","Yes","80","Inconsistent","Open Country","Farmhouse"
"kitchen16.jpg","Oven Mitts","Kitchen","Private","Indoors","ig2","No","50","Inconsistent","Living Room","TV Remote"
"suburb4.jpg","Crosswalk","Suburban","Human","Outdoors","og1","Yes","80","Consistent","Suburban","Crosswalk"
"class6.jpg","Textbook","Classroom","Public","Indoors","ig2","No","100","Inconsistent","Living Room","Coffee Maker"
"pond.png","Birdhouse","Suburban","Natural","Outdoors","og2","Yes","80","Inconsistent","Highway","Road Work Sign"
"plant_bathroom.png","Slippers","Bathroom","Private","Indoors","ig1","Yes","80","Consistent","Bathroom","Slippers"
"dining7.jpg","Spoon","Dining Room","Private","Indoors","ig2","Yes","80","Inconsistent","Bedroom","Comforter Blanket"
"office1.jpg","Pencil Holder","Office","Public","Indoors","ig1","Yes","50","Consistent","Office","Pencil Holder"
"citycenter10.jpg","Souvenir Stand","City Center","Human","Outdoors","og1","No","80","Consistent","City Center","Souvenir Stand"
"living13.jpg","DVD Player","Living Room","Private","Indoors","ig2","No","80","Inconsistent","Kitchen","Pan"
"elephant.jpg","Napkin","Dining Room","Private","Indoors","ig1","Yes","100","Consistent","Dining Room","Napkin"
"urbanstreet1.jpg","Newspaper Box","Urban Street","Human","Outdoors","og1","Yes","100","Consistent","Urban Street","Newspaper Box"
"bedroom12.jpg","Dresser","Bedroom","Private","Indoors","ig1","No","80","Consistent","Bedroom","Dresser"
"forest9.jpg","Axe","Forest","Natural","Outdoors","og1","No","50","Consistent","Forest","Axe"
"play5.jpg","Soccer Ball","Playground","Human","Outdoors","og1","Yes","80","Consistent","Playground","Soccer Ball"
"forest14.jpg","Camping Tent","Forest","Natural","Outdoors","og2","Yes","100","Inconsistent","Highway","Motorcycle"
"dining8.jpg","Fork","Dining Room","Private","Indoors","ig1","Yes","100","Consistent","Dining Room","Fork"
"child_bedroom.png","Teddy Bear","Bedroom","Private","Indoors","ig1","No","80","Consistent","Bedroom","Teddy Bear"
"blender.jpg","Pan","Kitchen","Private","Indoors","ig2","No","80","Inconsistent","Classroom","Textbook"
"MDS201.jpg","Rock","Forest","Natural","Outdoors","og1","No","100","Consistent","Forest","Rock"
"class3.jpg","Notebook","Classroom","Public","Indoors","ig2","No","100","Inconsistent","Living Room","Rocking Chair"
"natural_fall.png","Fishing Rod","Forest","Natural","Outdoors","og2","No","80","Inconsistent","Suburban","Lawn Mower"
"citycenter2.jpg","Taxi","City Center","Human","Outdoors","og1","No","100","Consistent","City Center","Taxi"
"bathroom7.jpg","Soap Bar","Bathroom","Private","Indoors","ig2","No","50","Inconsistent","Classroom","Backpack"
"corridor5.jpg","Fire Alarm","Corridor","Public","Indoors","ig1","Yes","80","Consistent","Corridor","Fire Alarm"
"Nature47.jpg","Fishing Boat","Coast","Natural","Outdoors","og1","No","100","Consistent","Coast","Fishing Boat"
"suburb2.jpg","Fire Hydrant","Suburban","Human","Outdoors","og2","Yes","80","Inconsistent","Playground","Swing Set"
"play10.jpg","Picnic Table","Playground","Human","Outdoors","og2","Yes","50","Inconsistent","Forest","Lily Pad"
"class9.jpg","Crayons","Classroom","Public","Indoors","ig1","No","100","Consistent","Classroom","Crayons"
"opencountry5.jpg","Pitchfork","Open Country","Natural","Outdoors","og1","Yes","50","Consistent","Open Country","Pitchfork"
"fire_hydrant.jpg","Flag Pole","City Center","Human","Outdoors","og2","Yes","100","Inconsistent","Farm","Feeding Trough"
"dining3.jpg","Plate","Dining Room","Private","Indoors","ig2","Yes","80","Inconsistent","Bathroom","Toilet Paper"
"conference1.jpg","Briefcase","Conference Room","Public","Indoors","ig2","Yes","50","Inconsistent","Bedroom","Alarm Clock"
"coast11.jpg","Lifeguard Tower","Coast","Natural","Outdoors","og1","Yes","50","Consistent","Coast","Lifeguard Tower"
"opencountry1.jpg","Fence","Open Country","Natural","Outdoors","og2","Yes","50","Inconsistent","Suburban","Parking Meter"
"play12.jpg","Seesaw","Playground","Human","Outdoors","og2","Yes","50","Inconsistent","Open Country","Radio Tower"
"Nature14.jpg","Wild Berries","Forest","Natural","Outdoors","og2","No","80","Inconsistent","Suburban","Fire Hydrant"
"citycenter11.jpg","Horse Carriage","City Center","Human","Outdoors","og1","No","100","Consistent","City Center","Horse Carriage"
"office8.jpg","Sticky Notes","Office","Public","Indoors","ig2","No","100","Inconsistent","Kitchen","Stand Mixer"
"suburb1.jpg","Lawn Mower","Suburban","Human","Outdoors","og2","Yes","80","Inconsistent","Farm","Scarecrow"
