"SceneImage","consist_obj","Basic","Superordinate","InOut","group_labels","Inverted","Duration","Consistent","probe_cat","probe"
"urbanstreet12.jpg","Telephone Booth","Urban Street","Human","Outdoors","og1","No","50","Inconsistent","Open Country","Windmill"
"dining7.jpg","Spoon","Dining Room","Private","Indoors","ig2","No","100","Consistent","Dining Room","Spoon"
"conference3.jpg","Phone Set","Conference Room","Public","Indoors","ig1","No","80","Inconsistent","Living Room","Picture Frame"
"coast3.jpg","Buoy","Coast","Natural","Outdoors","og1","No","80","Inconsistent","Suburban","Bicycle"
"kitchen16.jpg","Oven Mitts","Kitchen","Private","Indoors","ig2","Yes","100","Consistent","Kitchen","Oven Mitts"
"highway9.jpg","Road Work Sign","Highway","Human","Outdoors","og2","Yes","100","Consistent","Highway","Road Work Sign"
"farm2.jpg","Wheelbarrow","Farm","Natural","Outdoors","og1","No","50","Inconsistent","Suburban","Traffic Light"
"briefcase.jpg","Printer","Office","Public","Indoors","ig1","Yes","50","Inconsistent","Living Room","Armchair Recliner"
"opencountry1.jpg","Fence","Open Country","Natural","Outdoors","og2","No","80","Consistent","Open Country","Fence"
"bedroom5.jpg","Alarm Clock","Bedroom","Private","Indoors","ig2","Yes","100","Consistent","Bedroom","Alarm Clock"
"play3.jpg","Sandbox","Playground","Human","Outdoors","og1","No","100","Inconsistent","Open Country","Pitchfork"
"class6.jpg","Textbook","Classroom","Public","Indoors","ig2","Yes","80","Consistent","Classroom","Textbook"
"fire_hydrant.jpg","Flag Pole","City Center","Human","Outdoors","og2","No","50","Consistent","City Center","Flag Pole"
"farm3.jpg","Scarecrow","Farm","Natural","Outdoors","og2","No","100","Consistent","Farm","Scarecrow"
"class8.jpg","Pencil Case","Classroom","Public","Indoors","ig1","Yes","80","Inconsistent","Kitchen","Rolling Pin"
"urbanstreet30.jpg","Bus Stop Shelter","Urban Street","Human","Outdoors","og1","No","50","Inconsistent","Coast","Lifeguard Tower"
"bedroom12.jpg","Dresser","Bedroom","Private","Indoors","ig1","Yes","50","Inconsistent","Corridor","Drinking Fountain"
"highway8.jpg","Yield Sign","Highway","Human","Outdoors","og1","Yes","50","Inconsistent","Suburban","Crosswalk"
"play5.jpg","Soccer Ball","Playground","Human","Outdoors","og1","No","100","Inconsistent","Farm","Wheelbarrow"
"coast10.jpg","Surfboard","Coast","Natural","Outdoors","og1","No","80","Inconsistent","Forest","Bird Nest"
"tan_kitchen.png","Knife","Kitchen","Private","Indoors","ig2","No","50","Consistent","Kitchen","Knife"
"corridor3.jpg","Fire Extinguisher","Corridor","Public","Indoors","ig2","No","80","Consistent","Corridor","Fire Extinguisher"
"dining8.jpg","Fork","Dining Room","Private","Indoors","ig1","No","50","Inconsistent","Bathroom","Shower Head"
"farm4.jpg","Feeding Trough","Farm","Natural","Outdoors","og2","No","100","Consistent","Farm","Feeding Trough"
"forest1.jpg","Toadstool Mushroom","Forest","Natural","Outdoors","og2","No","50","Consistent","Forest","Toadstool Mushroom"
"bedroom14.jpg","Comforter Blanket","Bedroom","Private","Indoors","ig2","Yes","100","Consistent","Bedroom","Comforter Blanket"
"coast11.jpg","Lifeguard Tower","Coast","Natural","Outdoors","og1","No","80","Inconsistent","Urban Street","Telephone Booth"
"suburb3.jpg","Mailbox","Suburban","Human","Outdoors","og2","No","100","Consistent","Suburban","Mailbox"
"office1.jpg","Pencil Holder","Office","Public","Indoors","ig1","No","80","Inconsistent","Bathroom","Razor"
"dining6.jpg","Tablecloth","Dining Room","Private","Indoors","ig1","No","100","Inconsistent","Living Room","Television"
"class9.jpg","Crayons","Classroom","Public","Indoors","ig1","Yes","80","Inconsistent","Dining Room","Fork"
"blender.jpg","Pan","Kitchen","Private","Indoors","ig2","Yes","50","Consistent","Kitchen","Pan"
"Nature14.jpg","Wild Berries","Forest","Natural","Outdoors","og2","Yes","50","Consistent","Forest","Wild Berries"
"coast8.jpg","Lighthouse","Coast","Natural","Outdoors","og2","Yes","80","Consistent","Coast","Lighthouse"
"fruit_bowl.jpg","Blender","Kitchen","Private","Indoors","ig2","No","50","Consistent","Kitchen","Blender"
"clock.jpg","Stop Sign","Urban Street","Human","Outdoors","og1","No","80","Inconsistent","Forest","Axe"
"living6.jpg","Vase","Living Room","Private","Indoors","ig2","Yes","50","Consistent","Living Room","Vase"
"kitchen13.jpg","Stand Mixer","Kitchen","Private","Indoors","ig2","Yes","100","Consistent","Kitchen","Stand Mixer"
"dining3.jpg","Plate","Dining Room","Private","Indoors","ig2","No","100","Consistent","Dining Room","Plate"
"fan.jpg","Calculator","Office","Public","Indoors","ig1","No","50","Inconsistent","Bedroom","Nightstand"
"bathroom3.jpg","Toilet Paper","Bathroom","Private","Indoors","ig2","Yes","100","Consistent","Bathroom","Toilet Paper"
"class11.jpg","Backpack","Classroom","Public","Indoors","ig2","Yes","80","Consistent","Classroom","Backpack"
"bathroom7.jpg","Soap Bar","Bathroom","Private","Indoors","ig2","Yes","100","Consistent","Bathroom","Soap Bar"
"citycenter12.jpg","Historic Plaque","City Center","Human","Outdoors","og2","Yes","50","Consistent","City Center","Historic Plaque"
"highway12.jpg","Motorcycle","Highway","Human","Outdoors","og2","No","50","Consistent","Highway","Motorcycle"
"bathroom2.jpg","Shower Head","Bathroom","Private","Indoors","ig1","Yes","100","Inconsistent","Living Room","Ottoman"
"MDS201.jpg","Rock","Forest","Natural","Outdoors","og1","Yes","80","Inconsistent","Highway","Billboard"
"farm1.jpg","Hay Bale","Farm","Natural","Outdoors","og1","No","50","Inconsistent","City Center","Souvenir Stand"
"dining5.jpg","Bowl","Dining Room","Private","Indoors","ig1","No","100","Inconsistent","Office","Stapler"
"natural_fall.png","Fishing Rod","Forest","Natural","Outdoors","og2","Yes","50","Consistent","Forest","Fishing Rod"
"suburb6.jpg","Utility Pole","Suburban","Human","Outdoors","og2","No","50","Consistent","Suburban","Utility Pole"
"forest9.jpg","Axe","Forest","Natural","Outdoors","og1","Yes","100","Inconsistent","Urban Street","Bus Stop Shelter"
"highway6.jpg","Speed Limit Sign","Highway","Human","Outdoors","og1","Yes","50","Inconsistent","Playground","Soccer Ball"
"opencountry3.jpg","Windmill","Open Country","Natural","Outdoors","og1","No","80","Inconsistent","Highway","Speed Limit Sign"
"forest14.jpg","Camping Tent","Forest","Natural","Outdoors","og2","No","50","Consistent","Forest","Camping Tent"
"suburb1.jpg","Lawn Mower","Suburban","Human","Outdoors","og2","No","100","Consistent","Suburban","Lawn Mower"
"bedroom11.jpg","Nightstand","Bedroom","Private","Indoors","ig1","Yes","100","Inconsistent","Dining Room","Tablecloth"
"pond.png","Birdhouse","Suburban","Natural","Outdoors","og2","No","100","Consistent","Suburban","Birdhouse"
"corridor4.jpg","Exit Sign","Corridor","Public","Indoors","ig2","No","100","Consistent","Corridor","Exit Sign"
"brick_apartment.png","Bird Bath","Suburban","Human","Outdoors","og2","Yes","50","Consistent","Suburban","Bird Bath"
"corridor1.jpg","Drinking Fountain","Corridor","Public","Indoors","ig1","No","100","Inconsistent","Dining Room","Bowl"
"play2.jpg","Swing Set","Playground","Human","Outdoors","og2","No","100","Consistent","Playground","Swing Set"
"kitchen10.jpg","Rolling Pin","Kitchen","Private","Indoors","ig1","Yes","50","Inconsistent","Classroom","Pencil Case"
"conference1.jpg","Briefcase","Conference Room","Public","Indoors","ig2","No","80","Consistent","Conference Room","Briefcase"
"suburb2.jpg","Fire Hydrant","Suburban","Human","Outdoors","og2","No","100","Consistent","Suburban","Fire Hydrant"
"living9.jpg","Ottoman","Living Room","Private","Indoors","ig1","Yes","80","Inconsistent","Office","Printer"
"Urban_Image_08.jpg","Traffic Light","Suburban","Human","Outdoors","og1","No","100","Inconsistent","City Center","Horse Carriage"
"bin.jpg","Rocking Chair","Living Room","Private","Indoors","ig2","Yes","50","Consistent","Living Room","Rocking Chair"
"wood_kitchen.png","Broom","Kitchen","Private","Indoors","ig1","No","50","Inconsistent","Office","Calculator"
"living16.jpg","Television","Living Room","Private","Indoors","ig1","Yes","80","Inconsistent","Bathroom","Plunger"
"forest11.jpg","Log Cabin","Forest","Natural","Outdoors","og1","Yes","100","Inconsistent","Urban Street","Stop Sign"
"living17.jpg","Armchair Recliner","Living Room","Private","Indoors","ig1","Yes","80","Inconsistent","Classroom","Crayons"
"bathroom6.jpg","Plunger","Bathroom","Private","Indoors","ig1","Yes","100","Inconsistent","Corridor","Fire Alarm"
"office10.jpg","Stapler","Office","Public","Indoors","ig1","No","80","Inconsistent","Kitchen","Broom"
"opencountry2.jpg","Farmhouse","Open Country","Natural","Outdoors","og2","No","80","Consistent","Open Country","Farmhouse"
"Nature36.jpg","Lily Pad","Forest","Natural","Outdoors","og2","Yes","80","Consistent","Forest","Lily Pad"
"conference5.jpg","Laptop","Conference Room","Public","Indoors","ig2","No","80","Consistent","Conference Room","Laptop"
"corridor2.jpg","Bathroom Sign","Corridor","Public","Indoors","ig2","No","80","Consistent","Corridor","Bathroom Sign"
"office8.jpg","Sticky Notes","Office","Public","Indoors","ig2","Yes","80","Consistent","Office","Sticky Notes"
"citycenter10.jpg","Souvenir Stand","City Center","Human","Outdoors","og1","Yes","50","Inconsistent","Farm","Tractor"
"conference7.jpg","Projector","Conference Room","Public","Indoors","ig2","No","80","Consistent","Conference Room","Projector"
"basketball_net.jpg","Bench","Playground","Human","Outdoors","og1","Yes","100","Inconsistent","Coast","Buoy"
"Nature47.jpg","Fishing Boat","Coast","Natural","Outdoors","og1","Yes","80","Inconsistent","Playground","Bench"
"conference8.jpg","Projector Screen","Conference Room","Public","Indoors","ig1","No","100","Inconsistent","Bedroom","Teddy Bear"
"bedroom13.jpg","Laundry Hamper","Bedroom","Private","Indoors","ig1","Yes","50","Inconsistent","Kitchen","Toaster"
"bust.jpg","TV Remote","Living Room","Private","Indoors","ig2","Yes","50","Consistent","Living Room","TV Remote"
"play12.jpg","Seesaw","Playground","Human","Outdoors","og2","No","80","Consistent","Playground","Seesaw"
"citycenter11.jpg","Horse Carriage","City Center","Human","Outdoors","og1","Yes","80","Inconsistent","Coast","Surfboard"
