"SceneImage","consist_obj","Basic","Superordinate","InOut","group_labels","Inverted","Duration","Consistent","probe_cat","probe"
"brick_apartment.png","Bird Bath","Suburban","Human","Outdoors","og2","No","100","Inconsistent","Coast","Lighthouse"
"MDS201.jpg","Rock","Forest","Natural","Outdoors","og1","No","50","Consistent","Forest","Rock"
"bathroom3.jpg","Toilet Paper","Bathroom","Private","Indoors","ig2","No","80","Inconsistent","Conference Room","Laptop"
"modern_livingroom.png","Floor Lamp","Living Room","Private","Indoors","ig2","No","100","Inconsistent","Kitchen","Baking Tray"
"dining3.jpg","Plate","Dining Room","Private","Indoors","ig2","Yes","100","Inconsistent","Bathroom","Toilet Paper"
"Nature14.jpg","Wild Berries","Forest","Natural","Outdoors","og2","No","100","Inconsistent","Suburban","Fire Hydrant"
"pond.png","Birdhouse","Suburban","Natural","Outdoors","og2","Yes","100","Inconsistent","Highway","Road Work Sign"
"corridor5.jpg","Fire Alarm","Corridor","Public","Indoors","ig1","Yes","100","Consistent","Corridor","Fire Alarm"
"forest9.jpg","Axe","Forest","Natural","Outdoors","og1","No","80","Consistent","Forest","Axe"
"dining7.jpg","Spoon","Dining Room","Private","Indoors","ig2","Yes","100","Inconsistent","Bedroom","Comforter Blanket"
"class6.jpg","Textbook","Classroom","Public","Indoors","ig2","No","50","Inconsistent","Living Room","Coffee Maker"
"office4.jpg","Tape Dispenser","Office","Public","Indoors","ig2","No","50","Inconsistent","Kitchen","Knife"
"living6.jpg","Vase","Living Room","Private","Indoors","ig2","No","100","Inconsistent","Office","Sticky Notes"
"urbanstreet12.jpg","Telephone Booth","Urban Street","Human","Outdoors","og1","Yes","50","Consistent","Urban Street","Telephone Booth"
"bell.jpg","Coffee Maker","Living Room","Private","Indoors","ig2","No","80","Inconsistent","Corridor","Bathroom Sign"
"bedroom14.jpg","Comforter Blanket","Bedroom","Private","Indoors","ig2","No","80","Inconsistent","Conference Room","Projector"
"farm3.jpg","Scarecrow","Farm","Natural","Outdoors","og2","Yes","100","Inconsistent","City Center","Historic Plaque"
"glass.jpg","Toaster","Kitchen","Private","Indoors","ig1","No","100","Consistent","Kitchen","Toaster"
"natural_fall.png","Fishing Rod","Forest","Natural","Outdoors","og2","No","100","Inconsistent","Suburban","Lawn Mower"
"living16.jpg","Television","Living Room","Private","Indoors","ig1","No","50","Consistent","Living Room","Television"
"bedroom13.jpg","Laundry Hamper","Bedroom","Private","Indoors","ig1","No","100","Consistent","Bedroom","Laundry Hamper"
"bathroom4.jpg","Razor","Bathroom","Private","Indoors","ig1","No","80","Consistent","Bathroom","Razor"
"fruit_bowl.jpg","Blender","Kitchen","Private","Indoors","ig2","Yes","50","Inconsistent","Living Room","Floor Lamp"
"forest1.jpg","Toadstool Mushroom","Forest","Natural","Outdoors","og2","Yes","50","Inconsistent","Urban Street","Crosswalk Signal"
"conference8.jpg","Projector Screen","Conference Room","Public","Indoors","ig1","Yes","100","Consistent","Conference Room","Projector Screen"
"citycenter11.jpg","Horse Carriage","City Center","Human","Outdoors","og1","No","50","Consistent","City Center","Horse Carriage"
"opencountry5.jpg","Pitchfork","Open Country","Natural","Outdoors","og1","Yes","80","Consistent","Open Country","Pitchfork"
"elephant.jpg","Napkin","Dining Room","Private","Indoors","ig1","Yes","50","Consistent","Dining Room","Napkin"
