"SceneImage","consist_obj","Basic","Superordinate","InOut","group_labels","Inverted","Duration","Consistent","probe_cat","probe"
"class6.jpg","Textbook","Classroom","Public","Indoors","ig2","Yes","50","Inconsistent","Living Room","Coffee Maker"
"bathroom7.jpg","Soap Bar","Bathroom","Private","Indoors","ig2","Yes","80","Inconsistent","Classroom","Backpack"
"child_bedroom.png","Teddy Bear","Bedroom","Private","Indoors","ig1","Yes","100","Consistent","Bedroom","Teddy Bear"
"fruit_bowl.jpg","Blender","Kitchen","Private","Indoors","ig2","No","100","Inconsistent","Living Room","Floor Lamp"
"Nature14.jpg","Wild Berries","Forest","Natural","Outdoors","og2","Yes","100","Inconsistent","Suburban","Fire Hydrant"
"dining3.jpg","Plate","Dining Room","Private","Indoors","ig2","No","80","Inconsistent","Bathroom","Toilet Paper"
"urbanstreet19.jpg","Subway Station Sign","Urban Street","Human","Outdoors","og2","No","100","Inconsistent","Suburban","Birdhouse"
"highway6.jpg","Speed Limit Sign","Highway","Human","Outdoors","og1","Yes","100","Consistent","Highway","Speed Limit Sign"
"coast7.jpg","Beach Towel","Coast","Natural","Outdoors","og2","Yes","50","Inconsistent","Open Country","Fence"
"modern_livingroom.png","Floor Lamp","Living Room","Private","Indoors","ig2","Yes","100","Inconsistent","Kitchen","Baking Tray"
"citycenter10.jpg","Souvenir Stand","City Center","Human","Outdoors","og1","Yes","100","Consistent","City Center","Souvenir Stand"
"corridor3.jpg","Fire Extinguisher","Corridor","Public","Indoors","ig2","No","50","Inconsistent","Classroom","Notebook"
"farm7.jpg","Tractor","Farm","Natural","Outdoors","og1","Yes","80","Consistent","Farm","Tractor"
"bedroom12.jpg","Dresser","Bedroom","Private","Indoors","ig1","Yes","100","Consistent","Bedroom","Dresser"
"play2.jpg","Swing Set","Playground","Human","Outdoors","og2","No","80","Inconsistent","Open Country","Farmhouse"
"coast11.jpg","Lifeguard Tower","Coast","Natural","Outdoors","og1","No","50","Consistent","Coast","Lifeguard Tower"
"living16.jpg","Television","Living Room","Private","Indoors","ig1","Yes","50","Consistent","Living Room","Television"
"highway9.jpg","Road Work Sign","Highway","Human","Outdoors","og2","Yes","80","Inconsistent","Suburban","Bird Bath"
"blender.jpg","Pan","Kitchen","Private","Indoors","ig2","Yes","100","Inconsistent","Classroom","Textbook"
