"SceneImage","consist_obj","Basic","Superordinate","InOut","group_labels","Inverted","Duration","Consistent","probe_cat","probe"
"conference3.jpg","Phone Set","Conference Room","Public","Indoors","ig1","Yes","100","Consistent","Conference Room","Phone Set"
"flowers.jpg","Picture Frame","Living Room","Private","Indoors","ig1","No","100","Consistent","Living Room","Picture Frame"
"opencountry1.jpg","Fence","Open Country","Natural","Outdoors","og2","Yes","100","Inconsistent","Conference Room","Briefcase"
"office4.jpg","Tape Dispenser","Office","Public","Indoors","ig2","No","80","Inconsistent","Coast","Beach Towel"
"fruit_bowl.jpg","Blender","Kitchen","Private","Indoors","ig2","Yes","80","Inconsistent","Playground","Seesaw"
"play12.jpg","Seesaw","Playground","Human","Outdoors","og2","Yes","100","Inconsistent","Living Room","Floor Lamp"
"highway6.jpg","Speed Limit Sign","Highway","Human","Outdoors","og1","No","50","Consistent","Highway","Speed Limit Sign"
"tan_kitchen.png","Knife","Kitchen","Private","Indoors","ig2","Yes","80","Inconsistent","Forest","Camping Tent"
"Nature36.jpg","Lily Pad","Forest","Natural","Outdoors","og2","No","80","Inconsistent","Corridor","Exit Sign"
"office10.jpg","Stapler","Office","Public","Indoors","ig1","Yes","100","Consistent","Office","Stapler"
"living13.jpg","DVD Player","Living Room","Private","Indoors","ig2","No","50","Inconsistent","Suburban","Utility Pole"
"forest2.jpg","Bird Nest","Forest","Natural","Outdoors","og1","No","100","Consistent","Forest","Bird Nest"
"farm1.jpg","Hay Bale","Farm","Natural","Outdoors","og1","Yes","80","Consistent","Farm","Hay Bale"
"urbanstreet28.jpg","Crosswalk Signal","Urban Street","Human","Outdoors","og2","Yes","80","Inconsistent","Corridor","Fire Extinguisher"
"highway12.jpg","Motorcycle","Highway","Human","Outdoors","og2","Yes","80","Inconsistent","Living Room","Rocking Chair"
"bedroom13.jpg","Laundry Hamper","Bedroom","Private","Indoors","ig1","No","50","Consistent","Bedroom","Laundry Hamper"
"bust.jpg","TV Remote","Living Room","Private","Indoors","ig2","No","50","Inconsistent","Urban Street","Crosswalk Signal"
"citycenter2.jpg","Taxi","City Center","Human","Outdoors","og1","No","80","Consistent","City Center","Taxi"
"play3.jpg","Sandbox","Playground","Human","Outdoors","og1","Yes","50","Consistent","Playground","Sandbox"
"dining6.jpg","Tablecloth","Dining Room","Private","Indoors","ig1","Yes","50","Consistent","Dining Room","Tablecloth"
"office8.jpg","Sticky Notes","Office","Public","Indoors","ig2","No","80","Inconsistent","Playground","Picnic Table"
"conference1.jpg","Briefcase","Conference Room","Public","Indoors","ig2","Yes","100","Inconsistent","Coast","Lighthouse"
"glass.jpg","Toaster","Kitchen","Private","Indoors","ig1","No","50","Consistent","Kitchen","Toaster"
"suburb4.jpg","Crosswalk","Suburban","Human","Outdoors","og1","Yes","50","Consistent","Suburban","Crosswalk"
"wood_kitchen.png","Broom","Kitchen","Private","Indoors","ig1","Yes","80","Consistent","Kitchen","Broom"
"bathroom2.jpg","Shower Head","Bathroom","Private","Indoors","ig1","No","100","Consistent","Bathroom","Shower Head"
"Urban_Image_08.jpg","Traffic Light","Suburban","Human","Outdoors","og1","Yes","50","Consistent","Suburban","Traffic Light"
"urbanstreet1.jpg","Newspaper Box","Urban Street","Human","Outdoors","og1","Yes","80","Consistent","Urban Street","Newspaper Box"
"coast11.jpg","Lifeguard Tower","Coast","Natural","Outdoors","og1","Yes","100","Consistent","Coast","Lifeguard Tower"
"kitchen17.jpg","Baking Tray","Kitchen","Private","Indoors","ig2","No","100","Inconsistent","Highway","Road Work Sign"
"Urban14.jpg","Parking Meter","Suburban","Human","Outdoors","og2","Yes","80","Inconsistent","Conference Room","Laptop"
"dining7.jpg","Spoon","Dining Room","Private","Indoors","ig2","Yes","50","Inconsistent","Forest","Toadstool Mushroom"
"bedroom5.jpg","Alarm Clock","Bedroom","Private","Indoors","ig2","No","100","Inconsistent","Highway","Motorcycle"
"elephant.jpg","Napkin","Dining Room","Private","Indoors","ig1","Yes","80","Consistent","Dining Room","Napkin"
"conference8.jpg","Projector Screen","Conference Room","Public","Indoors","ig1","Yes","50","Consistent","Conference Room","Projector Screen"
"Nature22.jpg","Wildflower","Forest","Natural","Outdoors","og2","No","80","Inconsistent","Bedroom","Alarm Clock"
"kitchen15.jpg","Apron","Kitchen","Private","Indoors","ig2","No","100","Inconsistent","Open Country","Radio Tower"
"corridor2.jpg","Bathroom Sign","Corridor","Public","Indoors","ig2","Yes","100","Inconsistent","Farm","Feeding Trough"
"living9.jpg","Ottoman","Living Room","Private","Indoors","ig1","No","80","Consistent","Living Room","Ottoman"
"play2.jpg","Swing Set","Playground","Human","Outdoors","og2","Yes","50","Inconsistent","Kitchen","Oven Mitts"
"opencountry5.jpg","Pitchfork","Open Country","Natural","Outdoors","og1","Yes","100","Consistent","Open Country","Pitchfork"
"fan.jpg","Calculator","Office","Public","Indoors","ig1","Yes","80","Consistent","Office","Calculator"
"kitchen10.jpg","Rolling Pin","Kitchen","Private","Indoors","ig1","No","50","Consistent","Kitchen","Rolling Pin"
"basketball_net.jpg","Bench","Playground","Human","Outdoors","og1","No","100","Consistent","Playground","Bench"
"farm3.jpg","Scarecrow","Farm","Natural","Outdoors","og2","Yes","50","Inconsistent","Classroom","Textbook"
"class11.jpg","Backpack","Classroom","Public","Indoors","ig2","No","80","Inconsistent","Forest","Wildflower"
"bathroom7.jpg","Soap Bar","Bathroom","Private","Indoors","ig2","No","100","Inconsistent","City Center","Flag Pole"
"opencountry8.jpg","Radio Tower","Open Country","Natural","Outdoors","og2","Yes","100","Inconsistent","Kitchen","Apron"
"highway8.jpg","Yield Sign","Highway","Human","Outdoors","og1","No","50","Consistent","Highway","Yield Sign"
"Nature47.jpg","Fishing Boat","Coast","Natural","Outdoors","og1","No","80","Consistent","Coast","Fishing Boat"
"play10.jpg","Picnic Table","Playground","Human","Outdoors","og2","Yes","100","Inconsistent","Kitchen","Stand Mixer"
"forest11.jpg","Log Cabin","Forest","Natural","Outdoors","og1","No","100","Consistent","Forest","Log Cabin"
"urbanstreet12.jpg","Telephone Booth","Urban Street","Human","Outdoors","og1","Yes","80","Consistent","Urban Street","Telephone Booth"
"Nature14.jpg","Wild Berries","Forest","Natural","Outdoors","og2","No","50","Inconsistent","Dining Room","Plate"
"coast7.jpg","Beach Towel","Coast","Natural","Outdoors","og2","No","80","Inconsistent","Living Room","Coffee Maker"
"suburb1.jpg","Lawn Mower","Suburban","Human","Outdoors","og2","Yes","50","Inconsistent","Dining Room","Spoon"
"play5.jpg","Soccer Ball","Playground","Human","Outdoors","og1","Yes","50","Consistent","Playground","Soccer Ball"
"pond.png","Birdhouse","Suburban","Natural","Outdoors","og2","Yes","50","Inconsistent","Kitchen","Knife"
"bedroom14.jpg","Comforter Blanket","Bedroom","Private","Indoors","ig2","No","100","Inconsistent","Open Country","Fence"
"suburb3.jpg","Mailbox","Suburban","Human","Outdoors","og2","Yes","50","Inconsistent","Kitchen","Blender"
"fire_hydrant.jpg","Flag Pole","City Center","Human","Outdoors","og2","Yes","80","Inconsistent","Bathroom","Toilet Paper"
"coast10.jpg","Surfboard","Coast","Natural","Outdoors","og1","Yes","100","Consistent","Coast","Surfboard"
"forest14.jpg","Camping Tent","Forest","Natural","Outdoors","og2","Yes","80","Inconsistent","Bathroom","Soap Bar"
"clock.jpg","Stop Sign","Urban Street","Human","Outdoors","og1","Yes","100","Consistent","Urban Street","Stop Sign"
"suburb2.jpg","Fire Hydrant","Suburban","Human","Outdoors","og2","Yes","50","Inconsistent","Office","Sticky Notes"
"bathroom3.jpg","Toilet Paper","Bathroom","Private","Indoors","ig2","No","100","Inconsistent","Suburban","Mailbox"
"office9.jpg","Paper Shredder","Office","Public","Indoors","ig1","Yes","100","Consistent","Office","Paper Shredder"
"living16.jpg","Television","Living Room","Private","Indoors","ig1","No","80","Consistent","Living Room","Television"
"class8.jpg","Pencil Case","Classroom","Public","Indoors","ig1","No","80","Consistent","Classroom","Pencil Case"
"citycenter26.jpg","Statue","City Center","Human","Outdoors","og1","No","80","Consistent","City Center","Statue"
"bedroom11.jpg","Nightstand","Bedroom","Private","Indoors","ig1","No","100","Consistent","Bedroom","Nightstand"
"citycenter11.jpg","Horse Carriage","City Center","Human","Outdoors","og1","No","80","Consistent","City Center","Horse Carriage"
"opencountry2.jpg","Farmhouse","Open Country","Natural","Outdoors","og2","Yes","100","Inconsistent","Living Room","TV Remote"
"bathroom6.jpg","Plunger","Bathroom","Private","Indoors","ig1","No","100","Consistent","Bathroom","Plunger"
"conference5.jpg","Laptop","Conference Room","Public","Indoors","ig2","Yes","100","Inconsistent","Forest","Lily Pad"
"Urban10.jpg","Bicycle","Suburban","Human","Outdoors","og1","Yes","80","Consistent","Suburban","Bicycle"
"living17.jpg","Armchair Recliner","Living Room","Private","Indoors","ig1","No","80","Consistent","Living Room","Armchair Recliner"
"kitchen13.jpg","Stand Mixer","Kitchen","Private","Indoors","ig2","No","100","Inconsistent","City Center","Historic Plaque"
"Nature40.jpg","Kayak","Forest","Natural","Outdoors","og2","No","80","Inconsistent","Corridor","Bathroom Sign"
"class6.jpg","Textbook","Classroom","Public","Indoors","ig2","No","80","Inconsistent","Suburban","Birdhouse"
"urbanstreet19.jpg","Subway Station Sign","Urban Street","Human","Outdoors","og2","Yes","80","Inconsistent","Living Room","Vase"
"bin.jpg","Rocking Chair","Living Room","Private","Indoors","ig2","No","50","Inconsistent","Playground","Swing Set"
"bathroom4.jpg","Razor","Bathroom","Private","Indoors","ig1","No","100","Consistent","Bathroom","Razor"
"class3.jpg","Notebook","Classroom","Public","Indoors","ig2","No","80","Inconsistent","Forest","Fishing Rod"
"citycenter10.jpg","Souvenir Stand","City Center","Human","Outdoors","og1","No","50","Consistent","City Center","Souvenir Stand"
"opencountry3.jpg","Windmill","Open Country","Natural","Outdoors","og1","Yes","100","Consistent","Open Country","Windmill"
"citycenter12.jpg","Historic Plaque","City Center","Human","Outdoors","og2","No","50","Inconsistent","Office","Tape Dispenser"
"corridor5.jpg","Fire Alarm","Corridor","Public","Indoors","ig1","Yes","50","Consistent","Corridor","Fire Alarm"
"brick_apartment.png","Bird Bath","Suburban","Human","Outdoors","og2","No","50","Inconsistent","Kitchen","Baking Tray"
"farm7.jpg","Tractor","Farm","Natural","Outdoors","og1","No","100","Consistent","Farm","Tractor"
"forest9.jpg","Axe","Forest","Natural","Outdoors","og1","No","100","Consistent","Forest","Axe"
"corridor1.jpg","Drinking Fountain","Corridor","Public","Indoors","ig1","Yes","50","Consistent","Corridor","Drinking Fountain"
"dining8.jpg","Fork","Dining Room","Private","Indoors","ig1","Yes","80","Consistent","Dining Room","Fork"
"coast3.jpg","Buoy","Coast","Natural","Outdoors","og1","Yes","100","Consistent","Coast","Buoy"
"briefcase.jpg","Printer","Office","Public","Indoors","ig1","No","50","Consistent","Office","Printer"
"living6.jpg","Vase","Living Room","Private","Indoors","ig2","No","50","Inconsistent","Farm","Scarecrow"
"conference7.jpg","Projector","Conference Room","Public","Indoors","ig2","Yes","100","Inconsistent","Forest","Kayak"
"natural_fall.png","Fishing Rod","Forest","Natural","Outdoors","og2","No","50","Inconsistent","Kitchen","Pan"
"modern_livingroom.png","Floor Lamp","Living Room","Private","Indoors","ig2","No","50","Inconsistent","Urban Street","Subway Station Sign"
"blender.jpg","Pan","Kitchen","Private","Indoors","ig2","No","50","Inconsistent","Suburban","Lawn Mower"
"farm2.jpg","Wheelbarrow","Farm","Natural","Outdoors","og1","Yes","80","Consistent","Farm","Wheelbarrow"
"child_bedroom.png","Teddy Bear","Bedroom","Private","Indoors","ig1","No","50","Consistent","Bedroom","Teddy Bear"
"MDS201.jpg","Rock","Forest","Natural","Outdoors","og1","No","80","Consistent","Forest","Rock"
"bedroom12.jpg","Dresser","Bedroom","Private","Indoors","ig1","No","50","Consistent","Bedroom","Dresser"
"kitchen16.jpg","Oven Mitts","Kitchen","Private","Indoors","ig2","No","100","Inconsistent","Suburban","Bird Bath"
"suburb6.jpg","Utility Pole","Suburban","Human","Outdoors","og2","Yes","80","Inconsistent","Living Room","DVD Player"
"corridor3.jpg","Fire Extinguisher","Corridor","Public","Indoors","ig2","Yes","100","Inconsistent","Open Country","Farmhouse"
"highway10.jpg","Billboard","Highway","Human","Outdoors","og1","No","50","Consistent","Highway","Billboard"
"class9.jpg","Crayons","Classroom","Public","Indoors","ig1","No","80","Consistent","Classroom","Crayons"
"office1.jpg","Pencil Holder","Office","Public","Indoors","ig1","Yes","100","Consistent","Office","Pencil Holder"
"coast8.jpg","Lighthouse","Coast","Natural","Outdoors","og2","No","80","Inconsistent","Classroom","Backpack"
"bell.jpg","Coffee Maker","Living Room","Private","Indoors","ig2","No","100","Inconsistent","Suburban","Fire Hydrant"
"urbanstreet30.jpg","Bus Stop Shelter","Urban Street","Human","Outdoors","og1","Yes","80","Consistent","Urban Street","Bus Stop Shelter"
"dining5.jpg","Bowl","Dining Room","Private","Indoors","ig1","Yes","50","Consistent","Dining Room","Bowl"
"farm4.jpg","Feeding Trough","Farm","Natural","Outdoors","og2","Yes","50","Inconsistent","Conference Room","Projector"
"corridor4.jpg","Exit Sign","Corridor","Public","Indoors","ig2","Yes","50","Inconsistent","Forest","Wild Berries"
"forest1.jpg","Toadstool Mushroom","Forest","Natural","Outdoors","og2","Yes","80","Inconsistent","Bedroom","Comforter Blanket"
"highway9.jpg","Road Work Sign","Highway","Human","Outdoors","og2","No","100","Inconsistent","Classroom","Notebook"
"plant_bathroom.png","Slippers","Bathroom","Private","Indoors","ig1","Yes","50","Consistent","Bathroom","Slippers"
"dining3.jpg","Plate","Dining Room","Private","Indoors","ig2","Yes","50","Inconsistent","Suburban","Parking Meter"
